Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
637248	MediaTek Inc	MediaTek	TWD	SHARE	TAI	#N/A
BRTNNQ	Medibank Private Ltd.	Medibank	AUD	SHARE	ASX	"3,409.0"
B0JL5L	"Medical Properties Trust, Inc."	Medical Properties Trust	USD	SHARE	NYS	112.0
457481	Mediobanca - Banca di Credito Finanziario S.p.A.	Mediobanca - Banca di Credito Finanziario	EUR	SHARE	MIL	#N/A
678209	Medipal Holdings Corporation	Medipal Holdings	JPY	SHARE	TKS	"12,971.0"
BTN1Y1	Medtronic Plc	Medtronic	USD	SHARE	NYS	"90,000.0"
644406	"Mega Financial Holding Co., Ltd."	Mega Financial Holding	TWD	SHARE	TAI	"9,594.0"
B292SM	Megacable Hldgs SAB de CV Cert Part Ord Cons of 2 A	Megacable CPO	MXN	UNIT	MEX	"23,980.0"
B60DQV	"Meiji Holdings Co., Ltd."	Meiji Holdings	JPY	SHARE	TKS	"17,832.0"
BGJW37	Meituan Class B	Meituan B	HKD	SHARE	HKG	"100,033.0"
B1KYHF	Melco Resorts & Entertainment Limited Sponsored ADR	Melco Resorts ADR	USD	ADR	NAS	"17,878.0"
BNR5MZ	Melrose Industries PLC	Melrose Industries	GBP	SHARE	LON	"40,046.0"
B23X1H	"MercadoLibre, Inc."	Mercadolibre	USD	SHARE	NAS	"29,957.0"
BG0GM1	"Mercari, Inc."	Mercari	JPY	SHARE	TKS	"1,752.0"
552902	Mercedes-Benz Group AG	Mercedes-Benz Group	EUR	SHARE	ETR	"172,425.0"
277884	"Merck & Co., Inc."	Merck & Co	USD	SHARE	NYS	"68,000.0"
474184	Merck KGaA	Merck	EUR	SHARE	ETR	"60,334.0"
B8W6K5	Mercury NZ Ltd.	Mercury NZ	NZD	SHARE	NZE	752.0
BWFD05	Meridian Energy Limited	Meridian Energy	NZD	SHARE	NZE	"1,088.0"
B4WRJD	Meritz Financial Group Inc.	Meritz Financial Group	KRW	SHARE	KRX	20.0
B0YCFG	"Meritz Fire & Marine Insurance Co., Ltd"	Meritz Insurance	KRW	SHARE	KRX	"2,811.0"
640829	MERITZ SECURITIES CO LTD	MERITZ SECURITIES	KRW	SHARE	KRX	"1,501.0"
BK4Z0B	Mesaieed Petrochemical Holding Company Q.S.C.	Mesaieed Petrochemical	QAR	SHARE	DSMD	#N/A
B7TL82	Meta Platforms Inc. Class A	Meta Platforms A	USD	SHARE	NAS	"71,970.0"
257320	"MetLife, Inc."	MetLife	USD	SHARE	NYS	"43,000.0"
258395	Metro Inc.	Metro	CAD	SHARE	TSE	"90,000.0"
B1L883	Metro Pacific Investments Corporation	Metro Pacific Investments	PHP	SHARE	PHS	54.0
651444	Metropolitan Bank & Trust Co.	Metrobank	PHP	SHARE	PHS	"14,451.0"
212624	Mettler-Toledo International Inc.	Mettler-Toledo	USD	SHARE	NYS	"17,800.0"
254741	MGM Resorts International	MGM Resorts	USD	SHARE	NYS	"59,000.0"
613345	"Micro-Star International Co., Ltd."	Micro-Star	TWD	SHARE	TAI	#N/A
259217	Microchip Technology Incorporated	Microchip Technology	USD	SHARE	NAS	"19,500.0"
258818	"Micron Technology, Inc."	Micron Technology	USD	SHARE	NAS	"43,000.0"
B676TW	MicroPort Scientific Corp.	MicroPort Scientific	HKD	SHARE	HKG	"8,019.0"
258817	Microsoft Corporation	Microsoft	USD	SHARE	NAS	"181,000.0"
258913	"Mid-America Apartment Communities, Inc."	Mid-America Apartment Communities	USD	SHARE	NYS	"2,429.0"
B1LHCW	Mindtree Limited	Mindtree	INR	SHARE	BOM	"35,071.0"
664240	MinebeaMitsumi Inc.	Minebea Mitsumi	JPY	SHARE	TKS	"83,011.0"
B17ZL5	Mineral Resources Limited	Mineral Resources	AUD	SHARE	ASX	"5,000.0"
BMC5QM	Ming Yuan Cloud Group Holdings Limited	Ming Yuan Cloud Group Holdings	HKD	SHARE	HKG	"4,247.0"
B018C0	"Minor International Public Co., Ltd."	Minor International	THB	SHARE	BKK	#N/A
B0RJCG	Minth Group Limited	Minth Group	HKD	SHARE	HKG	"19,359.0"
624965	"MIRAE ASSET SECURITIES CO., LTD."	MIRAE ASSET SECURITIES	KRW	SHARE	KRX	"3,809.0"
616197	Mirvac Group	Mirvac Group	AUD	SHARE	ASX	"1,416.0"
655799	MISC Bhd	Misc	MYR	SHARE	KLS	#N/A
659517	Misumi Group Inc.	MISUMI Group	JPY	SHARE	TKS	"11,682.0"
B0JQTJ	Mitsubishi Chemical Holdings Corporation	Mitsubishi Chemical Hldgs	JPY	SHARE	TKS	"69,607.0"
659678	Mitsubishi Corporation	Mitsubishi	JPY	SHARE	TKS	"82,997.0"
659704	Mitsubishi Electric Corp.	Mitsubishi Electric	JPY	SHARE	TKS	"145,653.0"
659672	"Mitsubishi Estate Company, Limited"	Mitsubishi Estate	JPY	SHARE	TKS	"9,982.0"
659692	"Mitsubishi Gas Chemical Company, Inc."	Mitsubishi Gas Chemical	JPY	SHARE	TKS	"8,998.0"
626897	Mitsubishi HC Capital Inc.	Mitsubishi HC Capital	JPY	SHARE	TKS	"3,284.0"
659706	"Mitsubishi Heavy Industries, Ltd."	Mitsubishi Heavy Inds	JPY	SHARE	TKS	"79,974.0"
633517	"Mitsubishi UFJ Financial Group, Inc."	Mitsubishi UFJ Financial Group	JPY	SHARE	TKS	"138,161.0"
659730	"Mitsui & Co.,Ltd"	Mitsui & Co	JPY	SHARE	TKS	"44,509.0"
659736	"Mitsui Chemicals, Inc."	Mitsui Chemicals	JPY	SHARE	TKS	"18,051.0"
659760	"Mitsui Fudosan Co., Ltd."	Mitsui Fudosan	JPY	SHARE	TKS	"23,992.0"
