Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
555255	Orange Polska S.A.	Orange Polska	PLN	SHARE	WAR	#N/A
517617	Orange SA	Orange	EUR	SHARE	PAR	#N/A
BH3T8K	Orbia Advance Corp. SAB de CV	Orbia Advance	MXN	SHARE	MEX	#N/A
645800	Orica Limited	Orica	AUD	SHARE	ASX	"13,000.0"
664889	"Oriental Land Co., Ltd."	Oriental Land	JPY	SHARE	TKS	"8,782.0"
621486	Origin Energy Limited	Origin Energy	AUD	SHARE	ASX	"5,000.0"
BDVLJ7	ORION CORP.	ORION Corp KR	KRW	SHARE	KRX	"1,407.0"
B17NY4	Orion Oyj Class B	Orion B	EUR	SHARE	HEL	"3,355.0"
666114	ORIX Corporation	ORIX	JPY	SHARE	TKS	"33,153.0"
652777	ORIX JREIT Inc.	ORIX JREIT	JPY	SHARE	TKS	65.0
B1VQF4	Orkla ASA	Orkla	NOK	SHARE	OSL	"21,423.0"
733945	Orpea SA	Orpea	EUR	SHARE	PAR	"68,800.0"
BYT16L	Orsted	Orsted	DKK	SHARE	CSE	"6,836.0"
666176	"Osaka Gas Co., Ltd."	Osaka Gas	JPY	SHARE	TKS	"20,941.0"
BGR9QP	Osotspa Public Co. Ltd.	Osotspa	THB	SHARE	BKK	#N/A
BK531S	Otis Worldwide Corporation	Otis Worldwide	USD	SHARE	NYS	"70,000.0"
732015	OTP Bank Nyrt	OTP Bank	HUF	SHARE	BUD	"37,866.0"
626705	Otsuka Corporation	OTSUKA	JPY	SHARE	TKS	"9,171.0"
B5LTM9	"Otsuka Holdings Co., Ltd."	Otsuka Holdings	JPY	SHARE	TKS	"33,226.0"
B0F9V2	Oversea-Chinese Banking Corporation Limited	Oversea-Chinese Banking	SGD	SHARE	SES	"30,809.0"
B1FW7Q	Owens Corning	Owens Corning	USD	SHARE	NYS	"20,000.0"
266586	PACCAR Inc	PACCAR	USD	SHARE	NAS	"28,500.0"
250456	Packaging Corporation of America	Packaging of America	USD	SHARE	NYS	"15,200.0"
B1VJS6	Page Industries Limited	Page Industries	INR	SHARE	BOM	"23,357.0"
BN78DQ	Palantir Technologies Inc. Class A	Palantir Tchnlg A	USD	SHARE	NYS	"2,920.0"
B87ZMX	"Palo Alto Networks, Inc."	Palo Alto Networks	USD	SHARE	NAS	"10,473.0"
266927	Pan American Silver Corp.	Pan American Silver	CAD	SHARE	TSE	"13,800.0"
B24FX4	"Pan Ocean Co., Ltd."	Pan Ocean	KRW	SHARE	KRX	#N/A
626986	Pan Pacific International Holdings Corporation	Pan Pacific Intl Hldgs	JPY	SHARE	TKS	"16,838.0"
657270	Panasonic Holdings Corporation	Panasonic Holdings	JPY	SHARE	TKS	"240,198.0"
B44XTX	Pandora A/S	Pandora	DKK	SHARE	CSE	"22,441.0"
B6RV67	"Parade Technologies, Ltd."	Parade Technologies	TWD	SHARE	ROCO	#N/A
BKTNTR	Paramount Global Class B	Paramount Global B	USD	SHARE	NAS	"22,965.0"
267150	Parker-Hannifin Corporation	Parker-Hannifin	USD	SHARE	NYS	"54,640.0"
BLFHPV	Parkland Corporation	Parkland	CAD	SHARE	TSE	#N/A
B119QG	Partners Group Holding AG	Partners Group Holding	CHF	SHARE	SWX	"1,573.0"
267445	"Paychex, Inc."	Paychex	USD	SHARE	NAS	"15,000.0"
BL95MY	"Paycom Software, Inc."	Paycom Software	USD	SHARE	NYS	"5,385.0"
BYW36M	"PayPal Holdings, Inc."	PayPal Holdings	USD	SHARE	NAS	"30,900.0"
BYX56S	PearlAbyss Corp.	PearlAbyss	KRW	SHARE	KRX	930.0
067760	Pearson PLC	Pearson	GBP	SHARE	LON	"21,350.0"
B4PLX1	Pegatron Corporation	Pegatron	TWD	SHARE	TAI	#N/A
BJ7WJS	"Peloton Interactive, Inc. Class A"	Peloton Interactive A	USD	SHARE	NAS	"8,662.0"
B4PT2P	Pembina Pipeline Corporation	Pembina Pipeline	CAD	SHARE	TSE	"2,488.0"
BLS09M	Pentair plc	Pentair	USD	SHARE	NYS	"11,250.0"
B8RZJZ	People's Insurance Co. (Group) of China Ltd. Class H	People's Ins Co Grp of CN H	HKD	SHARE	HKG	"184,364.0"
BFXG36	Pepkor Holdings Ltd.	Pepkor Holdings	ZAR	SHARE	JSE	#N/A
268151	"PepsiCo, Inc."	PepsiCo	USD	SHARE	NAS	"309,000.0"
230584	"PerkinElmer, Inc."	PerkinElmer	USD	SHARE	NYS	"16,700.0"
468232	Pernod Ricard SA	Pernod Ricard	EUR	SHARE	PAR	"18,306.0"
068253	Persimmon Plc	Persimmon	GBP	SHARE	LON	"5,196.0"
B3CY70	PERSOL HOLDINGS CO. LTD.	PERSOL Holdings	JPY	SHARE	TKS	"49,434.0"
BYY014	Petro Rio SA	Petro Rio	BRL	SHARE	BSP	#N/A
622657	PetroChina Company Limited Class H	PetroChina H	HKD	SHARE	HKG	#N/A
268453	Petroleo Brasileiro SA Pfd	Petroleo Bras Pfd	BRL	PREFEQ	BSP	"45,532.0"
B5KQGT	PETRONAS Chemicals Group Bhd.	PETRONAS Chemicals Group	MYR	SHARE	KLS	"4,585.0"
669593	Petronas Dagangan Bhd.	Petronas Dagangan	MYR	SHARE	KLS	"1,800.0"
670397	Petronas Gas Bhd.	Petronas Gas	MYR	SHARE	KLS	"1,671.0"
B00KT6	Petronet Lng Limited	Petronet LNG	INR	SHARE	BOM	"1,640.0"
268470	Pfizer Inc.	Pfizer	USD	SHARE	NYS	"79,000.0"
268956	PG&E Corporation	PG&E	USD	SHARE	NYS	"26,000.0"
B544PW	PGE Polska Grupa Energetyczna S.A.	PGE Polska Grupa	PLN	SHARE	WAR	"40,141.0"
BK72QD	"Pharmaron Beijing Co., Ltd. Class H"	Pharmaron Beijing H	HKD	SHARE	HKG	"14,923.0"
B2PKRQ	Philip Morris International Inc.	Philip Morris	USD	SHARE	NYS	"69,600.0"
B78C4Y	Phillips 66	Phillips 66	USD	SHARE	NYS	"14,000.0"
BGXQNP	Phoenix Group Holdings plc	Phoenix Group Holdings	GBP	SHARE	LON	#N/A
B992PT	PI Industries Limited	PI Industries	INR	SHARE	BOM	"3,663.0"
670625	"PICC Property & Casualty Co., Ltd. Class H"	PICC Property & Casualty H	HKD	SHARE	HKG	"171,508.0"
B0JJV5	Pidilite Industries Limited	Pidilite Industries	INR	SHARE	BOM	"8,025.0"
BYVW0F	"Pinduoduo, Inc. Sponsored ADR Class A"	Pinduoduo ADR	USD	ADR	NAS	"9,762.0"
BDRYVB	Ping An Healthcare and Technology Company Limited	Ping An Healthcare and Technology	HKD	SHARE	HKG	"3,425.0"
B01FLR	"Ping An Insurance (Group) Company of China, Ltd. Class H"	Ping An Insurance Group H	HKD	SHARE	HKG	"355,982.0"
BJ2Z0H	"Pinterest, Inc. Class A"	Pinterest A	USD	SHARE	NYS	"3,225.0"
269083	Pioneer Natural Resources Company	Pioneer Natural Resources	USD	SHARE	NYS	"1,932.0"
B058J5	Piramal Enterprises Ltd.	Piramal Enterprises	INR	SHARE	BOM	"6,638.0"
B03NGS	PKO Bank Polski S.A.	PKO Bank Polski	PLN	SHARE	WAR	"25,657.0"
BDGN27	"PLDT, Inc."	PLDT	PHP	SHARE	PHS	"18,822.0"
250838	Plug Power Inc.	Plug Power	USD	SHARE	NAS	"2,449.0"
269266	"PNC Financial Services Group, Inc."	PNC Financial Services Group	USD	SHARE	NYS	"59,426.0"
B5N4QN	Pola Orbis Holdings Inc.	Pola Orbis	JPY	SHARE	TKS	"4,261.0"
581006	Polski Koncern Naftowy ORLEN S.A.	PKN ORLEN	PLN	SHARE	WAR	"33,377.0"
B0L911	Polskie Gornictwo Naftowe i Gazownictwo SA	Polish Oil and Gas	PLN	SHARE	WAR	"24,608.0"
278158	Pool Corporation	Pool	USD	SHARE	NAS	"5,500.0"
710106	Porsche Automobil Holding SE Pref	Porsche AutoHldg Vz	EUR	PREFEQ	ETR	882.0
641945	"POSCO Chemical Co., Ltd."	POSCO Chemical	KRW	SHARE	KRX	"2,019.0"
669323	POSCO Holdings Inc.	POSCO Holdings	KRW	SHARE	KRX	"18,247.0"
BD8GL1	"Postal Savings Bank of China Co., Ltd. Class H"	Postal Savings Bank of China H	HKD	SHARE	HKG	"193,946.0"
BYYN70	Poste Italiane SpA	Poste Italiane	EUR	SHARE	MIL	"109,658.0"
669615	Pou Chen Corporation	Pou Chen	TWD	SHARE	TAI	"320,740.0"
643532	Power Assets Holdings Limited	Power Assets Holdings	HKD	SHARE	HKG	13.0
269770	Power Corporation of Canada	Power	CAD	SHARE	TSE	"33,700.0"
B233HS	Power Grid Corporation of India Limited	Power Grid India	INR	SHARE	BOM	"9,258.0"
B4LL9N	Powerlong Real Estate Holdings Ltd.	Powerlong Real Estate	HKD	SHARE	HKG	"13,212.0"
B63DG2	Powszechny Zaklad Ubezpieczen Spolka Akcyjna	PZU	PLN	SHARE	WAR	"40,805.0"
668166	PPB Group Bhd.	PPB Group	MYR	SHARE	KLS	"4,800.0"
269847	"PPG Industries, Inc."	PPG Industries	USD	SHARE	NYS	"49,300.0"
268090	PPL Corporation	PPL	USD	SHARE	NYS	"5,607.0"
670498	President Chain Store Corporation	President Chain Store	TWD	SHARE	TAI	#N/A
BF0J5S	Press Metal Aluminium Holdings Berhad	Press Metal Aluminium	MYR	SHARE	KLS	"7,230.0"
280301	"Principal Financial Group, Inc."	Principal Fincl Group	USD	SHARE	NAS	"18,600.0"
270440	Procter & Gamble Company	Procter & Gamble	USD	SHARE	NYS	"101,000.0"
270502	Progressive Corporation	Progressive	USD	SHARE	NYS	"49,077.0"
B44WZD	"Prologis, Inc."	Prologis Inc	USD	SHARE	NYS	"2,053.0"
239338	Promotora y Operadora de Infraestructura SA	Promotora y Operadora	MXN	SHARE	MEX	"2,991.0"
BJDS7L	Prosus N.V. Class N	Prosus N	EUR	SHARE	AMS	"23,939.0"
B00D9P	Proximus SA de droit public	Proximus	EUR	SHARE	BRU	"11,532.0"
281911	"Prudential Financial, Inc."	Prudential Financial	USD	SHARE	NYS	"40,916.0"
070995	Prudential plc	Prudential	GBP	SHARE	LON	"14,486.0"
B1W4V6	Prysmian S.p.A.	Prysmian	EUR	SHARE	MIL	"29,763.0"
B3BQFC	PT Adaro Energy Indonesia Tbk	Adaro Energy Indonesia	IDR	SHARE	JKT	"9,711.0"
605385	PT Aneka Tambang Tbk	Aneka Tambang	IDR	SHARE	JKT	"4,006.0"
B800MQ	PT Astra International Tbk	PT Astra International	IDR	SHARE	JKT	"123,894.0"
B01C1P	PT Bank Central Asia Tbk	Bank Central Asia	IDR	SHARE	JKT	"25,370.0"
BYZ0ZJ	PT Bank Jago Tbk	Bank Jago	IDR	SHARE	JKT	386.0
665104	PT Bank Mandiri (Persero) Tbk	Bank Mandiri	IDR	SHARE	JKT	"37,840.0"
672712	PT Bank Negara Indonesia (Persero) Tbk Class B	Bank Negara Indonesia B	IDR	SHARE	JKT	"27,177.0"
670909	PT Bank Rakyat Indonesia (Persero) Tbk Class B	Bank Rakyat Indonesia B	IDR	SHARE	JKT	"79,398.0"
607070	PT Barito Pacific Tbk	Barito Pacific	IDR	SHARE	JKT	"3,044.0"
631534	PT Charoen Pokphand Indonesia Tbk	PT Charoen Pokphand Indonesia	IDR	SHARE	JKT	"8,080.0"
636699	PT Gudang Garam Tbk	Gudang Garam	IDR	SHARE	JKT	"33,647.0"
646242	PT Indah Kiat Pulp & Paper Tbk	Indah Kiat Pulp & Paper	IDR	SHARE	JKT	#N/A
645486	PT Indocement Tunggal Prakarsa Tbk	Indocement Tunggal	IDR	SHARE	JKT	"4,695.0"
B4LD3M	PT Indofood CBP Sukses Makmur Tbk	Indofood CBP Sukses	IDR	SHARE	JKT	"35,638.0"
628397	PT Indofood Sukses Makmur Tbk	Indofood Sukses Makmur	IDR	SHARE	JKT	"90,339.0"
B7311V	PT Kalbe Farma Tbk	Kalbe Farma	IDR	SHARE	JKT	"12,334.0"
BZ0W5W	PT Merdeka Copper Gold Tbk	PT Merdeka Copper Gold	IDR	SHARE	JKT	"3,480.0"
BCDBLX	PT Sarana Menara Nusantara Tbk	PT Sarana Menara	IDR	SHARE	JKT	"1,844.0"
679523	PT Semen Indonesia (Persero) Tbk	Semen Indonesia	IDR	SHARE	JKT	"9,909.0"
BD4T6W	PT Telkom Indonesia (Persero) Tbk Class B	Telkom Indonesia Persero B	IDR	SHARE	JKT	"20,884.0"
B4MW04	PT Tower Bersama Infrastructure Tbk	Tower Bersama Infra	IDR	SHARE	JKT	661.0
668718	PT Unilever Indonesia Tbk	Unilever Indonesia	IDR	SHARE	JKT	"4,949.0"
623084	PT United Tractors Tbk	United Tractors	IDR	SHARE	JKT	"29,118.0"
B95N91	PTC Inc.	PTC	USD	SHARE	NAS	"6,709.0"
B1359K	PTT Exploration & Production Plc	PTT Exploration & Prod	THB	SHARE	BKK	#N/A
B67QFW	PTT Global Chemical Public Company Limited	PTT Global Chemical	THB	SHARE	BKK	#N/A
BN73M0	PTT Oil and Retail Business Public Co Limited	PTT Oil and Retail Business	THB	SHARE	BKK	#N/A
BD0BDH	"PTT Public Co., Ltd."	PTT Public	THB	SHARE	BKK	#N/A
B012W4	Public Bank Bhd	Public Bank	MYR	SHARE	KLS	"19,364.0"
726829	Public Power Corporation S.A.	Public Power Corp	EUR	SHARE	ATH	"12,909.0"
270767	Public Service Enterprise Group Inc	Public Service Enterprise	USD	SHARE	NYS	"12,684.0"
285253	Public Storage	Public Storage	USD	SHARE	NYS	"5,800.0"
438042	Publicis Groupe SA	Publicis Groupe	EUR	SHARE	PAR	"88,531.0"
270884	"PulteGroup, Inc."	Pulte Home	USD	SHARE	NYS	"6,182.0"
506472	PUMA SE	PUMA	EUR	SHARE	ETR	"16,125.0"
671034	Qantas Airways Limited	Qantas Airways	AUD	SHARE	ASX	"25,000.0"
656661	Qatar Electricity & Water Co.	Qatar Electricity & Water	QAR	SHARE	DSMD	#N/A
651655	Qatar Fuel Q.S.C (WOQOD)	Qatar Fuel-Woqod	QAR	SHARE	DSMD	#N/A
B0MLBC	Qatar Gas Transport Co.	Qatar Gas Transport	QAR	SHARE	DSMD	#N/A
657154	Qatar International Islamic Bank	Qatar Intl Islamic Bank	QAR	SHARE	DSMD	#N/A
671398	Qatar Islamic Bank	Qatar Islamic Bank	QAR	SHARE	DSMD	#N/A
614819	Qatar National Bank QPSC	Qatar National Bank	QAR	SHARE	DSMD	#N/A
671574	QBE Insurance Group Limited	QBE Insurance Group	AUD	SHARE	ASX	"11,651.0"
B00G23	QL Resources Bhd.	QL Resources	MYR	SHARE	KLS	"5,295.0"
BR9YYP	"Qorvo, Inc."	Qorvo	USD	SHARE	NAS	"8,400.0"
271492	Qualcomm Incorporated	Qualcomm	USD	SHARE	NAS	"45,000.0"
614101	Quanta Computer Inc.	Quanta Computer	TWD	SHARE	TAI	#N/A
271577	Quebecor Inc. Class B	Quebecor B	CAD	SHARE	TSE	#N/A
270279	Quest Diagnostics Incorporated	Quest Diagnostics	USD	SHARE	NYS	"49,000.0"
B2PF1B	Rabigh Refining & Petrochemical Co.	Petro Rabigh	SAR	SHARE	SAU	#N/A
B7FQV6	Raia Drogasil S.A.	Raia Drogasil	BRL	SHARE	BSP	"50,573.0"
B0704T	Raiffeisen Bank International AG	Raiffeisen Bank International	EUR	SHARE	WBO	"46,185.0"
622959	"Rakuten Group, Inc."	Rakuten Group	JPY	SHARE	TKS	"28,261.0"
604199	Ramsay Health Care Limited	Ramsay Health Care	AUD	SHARE	ASX	"80,000.0"
522865	Randstad NV	Randstad	EUR	SHARE	AMS	#N/A
BK1W1V	Ratch Group Public Co. Ltd.	Ratch Group	THB	SHARE	BKK	#N/A
591060	RATIONAL AG	Rational	EUR	SHARE	ETR	"2,248.0"
271899	"Raymond James Financial, Inc."	Raymond James Fincl	USD	SHARE	NYS	"20,021.0"
BM5M5Y	Raytheon Technologies Corporation	Raytheon Technologies	USD	SHARE	NYS	"174,000.0"
619857	REA Group Ltd	REA Group	AUD	SHARE	ASX	"2,931.0"
605142	Realtek Semiconductor Corp	Realtek Semiconductor	TWD	SHARE	TAI	#N/A
272419	Realty Income Corporation	Realty Income	USD	SHARE	NYS	371.0
B24CGK	Reckitt Benckiser Group plc	Reckitt Benckiser Group	GBP	SHARE	LON	"52,303.0"
B07DRZ	Recordati Industria Chimica e Farmaceutica S.p.A.	Recordati Industria Chimica e Farmaceutica	EUR	SHARE	MIL	"4,303.0"
BQRRZ0	"Recruit Holdings Co., Ltd."	Recruit Holdings	JPY	SHARE	TKS	"46,800.0"
BD6FXN	Red Electrica Corp. SA	Red Electrica Corp	EUR	SHARE	MCE	"2,117.0"
BNDQ8P	Rede D'Or Sao Luiz SA	Rede D'Or Sao Luiz	BRL	SHARE	BSP	"67,285.0"
672880	Reece Limited	Reece	AUD	SHARE	ASX	"8,000.0"
272617	Regency Centers Corporation	Regency Centers	USD	SHARE	NAS	432.0
273019	"Regeneron Pharmaceuticals, Inc."	Regeneron Pharmaceuticals	USD	SHARE	NAS	"10,368.0"
B01R31	Regions Financial Corporation	Regions Financial	USD	SHARE	NYS	"19,626.0"
BF52QF	Reinet Investments S.C.A.	Reinet Investments	ZAR	SHARE	JSE	#N/A
609962	Reliance Industries Limited	Reliance Industries	INR	SHARE	BOM	"236,334.0"
B2B0DG	RELX PLC	RELX	GBP	SHARE	LON	"33,500.0"
629068	Remgro Limited	Remgro	ZAR	SHARE	JSE	#N/A
474171	Remy Cointreau SA	Remy Cointreau	EUR	SHARE	PAR	"1,832.0"
471279	Renault SA	Renault	EUR	SHARE	PAR	"156,466.0"
663567	Renesas Electronics Corporation	Renesas Electronics	JPY	SHARE	TKS	"20,962.0"
B082RF	Rentokil Initial plc	Rentokil Initial	GBP	SHARE	LON	"46,031.0"
566935	Repsol SA	Repsol	EUR	SHARE	MCE	"23,900.0"
226253	"Republic Services, Inc."	Republic Services	USD	SHARE	NYS	"35,000.0"
273290	ResMed Inc.	ResMed	USD	SHARE	NYS	"7,970.0"
642155	"Resona Holdings, Inc."	Resona	JPY	SHARE	TKS	"20,308.0"
BTF8CF	Restaurant Brands International Inc	Restaurant Brands Intl	CAD	SHARE	TSE	"5,700.0"
624467	RHB Bank Bhd.	RHB Bank	MYR	SHARE	KLS	"14,000.0"
673822	"Ricoh Company, Ltd."	Ricoh JP	JPY	SHARE	TKS	"81,184.0"
BDZCRX	"RingCentral, Inc. Class A"	RingCentral A	USD	SHARE	NYS	"3,919.0"
674058	Rinnai Corporation	Rinnai	JPY	SHARE	TKS	"10,386.0"
622010	Rio Tinto Limited	Rio Tinto	AUD	SHARE	ASX	"49,345.0"
071887	Rio Tinto plc	Rio Tinto	GBP	SHARE	LON	"49,345.0"
222961	RioCan Real Estate Investment Trust	RioCan REIT	CAD	SHARE	TSE	600.0
234539	Ritchie Bros. Auctioneers Incorporated	Ritchie Bros Auctioneers	CAD	SHARE	TSE	"4,371.0"
BL9884	"Rivian Automotive, Inc. Class A"	Rivian Automotive A	USD	SHARE	NAS	"10,422.0"
B12LZW	Riyad Bank	RIBL	SAR	SHARE	SAU	"6,147.0"
BMBKL7	"RLX Technology, Inc. Sponsored ADR Class A"	RLX Tech Sp ADS-A	USD	ADR	NYS	"1,235.0"
211070	Robert Half International Inc.	Robert Half	USD	SHARE	NYS	"191,600.0"
BP0TQN	"Robinhood Markets, Inc. Class A"	Robinhood Markets A	USD	SHARE	NAS	"3,800.0"
711038	Roche Holding Ltd Dividend Right Cert.	Roche Holding	CHF	PREFEQ	SWX	"100,920.0"
275406	"Rockwell Automation, Inc."	Rockwell Automation	USD	SHARE	NYS	"24,500.0"
471349	ROCKWOOL A/S Class B	ROCKWOOL B	DKK	SHARE	CSE	"11,968.0"
216905	Rogers Communications Inc. Class B	Rogers Communications B	CAD	SHARE	TSE	"23,000.0"
674720	"Rohm Co., Ltd."	Rohm	JPY	SHARE	TKS	"22,370.0"
BZ1LFG	"Roku, Inc. Class A"	Roku-A Rg	USD	SHARE	NAS	"3,000.0"
274730	"Rollins, Inc."	Rollins	USD	SHARE	NYS	"16,482.0"
B63H84	Rolls-Royce Holdings plc	Rolls-Royce Holdings	GBP	SHARE	LON	"44,000.0"
274960	"Roper Technologies, Inc."	Roper Technologies	USD	SHARE	NYS	"19,300.0"
274671	"Ross Stores, Inc."	Ross Stores	USD	SHARE	NAS	"100,000.0"
275438	Royal Bank of Canada	RBC	CAD	SHARE	TSE	"87,000.0"
275490	Royal Caribbean Group	Royal Caribbean	USD	SHARE	NYS	"85,000.0"
595607	Royal KPN NV	Royal KPN	EUR	SHARE	AMS	"9,699.0"
BMVP7Y	Royalty Pharma Plc Class A	Royalty Pharma A	USD	SHARE	NAS	66.0
275617	RPM International Inc.	RPM	USD	SHARE	NYS	"15,490.0"
674842	"Ruentex Development Co., Ltd."	Ruentex Development	TWD	SHARE	TAI	#N/A
BYXZ2W	Rumo SA	RUMO	BRL	SHARE	BSP	#N/A
476896	RWE AG	RWE	EUR	SHARE	ETR	"18,246.0"
616152	Ryman Healthcare Ltd.	Ryman Healthcare	NZD	SHARE	NZE	"6,100.0"
675845	"Ryohin Keikaku Co., Ltd."	Ryohin Keikaku	JPY	SHARE	TKS	"8,882.0"
BYV232	"S&P Global, Inc."	S&P Global	USD	SHARE	NYS	"22,850.0"
618023	S-1 Corporation	S-1	KRW	SHARE	KRX	"6,761.0"
640605	S-Oil Corporation	S-Oil	KRW	SHARE	KRX	"3,154.0"
B1323K	SABIC Agri-Nutrients Co.	SABIC Agri-Nutrients	SAR	SHARE	SAU	#N/A
B058TZ	Safran S.A.	Safran	EUR	SHARE	PAR	"76,765.0"
B8C3BL	Sage Group plc	Sage Group	GBP	SHARE	LON	"11,878.0"
B1C1NH	Sahara International Petrochemical Company	Sahara Intl Petrochemical	SAR	SHARE	SAU	#N/A
231052	"Salesforce, Inc."	Salesforce	USD	SHARE	NYS	"73,541.0"
522603	Sampo Oyj Class A	Sampo A	EUR	SHARE	HEL	"13,340.0"
BYNJCV	"SAMSUNG BIOLOGICS Co., Ltd."	SAMSUNG BIOLOGICS	KRW	SHARE	KRX	"3,959.0"
BSXN8K	SAMSUNG C&T CORP	SAMSUNG C&T	KRW	SHARE	KRX	"8,819.0"
677168	"Samsung Electro-Mechanics Co., Ltd"	Samsung Electro-Mechanics	KRW	SHARE	KRX	"11,866.0"
677172	"Samsung Electronics Co., Ltd."	Samsung Electronics	KRW	SHARE	KRX	"113,485.0"
676523	"Samsung Engineering Co., Ltd."	Samsung Engineering	KRW	SHARE	KRX	"5,265.0"
615525	"Samsung Fire & Marine Insurance Co., Ltd"	Samsung Fire & Marine Ins	KRW	SHARE	KRX	#N/A
677221	"Samsung Heavy Industries Co., Ltd"	Samsung Heavy Industries	KRW	SHARE	KRX	"9,279.0"
B12C0T	"Samsung Life Insurance Co., Ltd."	Samsung Life Insurance	KRW	SHARE	KRX	"5,250.0"
677164	"Samsung SDI Co., Ltd"	Samsung SDI	KRW	SHARE	KRX	"11,315.0"
BRS2KY	"SAMSUNG SDS CO., LTD."	SAMSUNG SDS	KRW	SHARE	KRX	"12,019.0"
640844	"Samsung Securities Co., Ltd."	Samsung Securities	KRW	SHARE	KRX	#N/A
B5B23W	Sands China Ltd.	Sands China	HKD	SHARE	HKG	"25,751.0"
B1VQ25	Sandvik AB	Sandvik	SEK	SHARE	OME	"44,133.0"
B0L675	Sanlam Limited	Sanlam	ZAR	SHARE	JSE	"21,180.0"
567173	Sanofi	Sanofi	EUR	SHARE	PAR	"95,442.0"
715363	Santander Bank Polska SA	Santander Bank Polska	PLN	SHARE	WAR	#N/A
677660	"Santen Pharmaceutical Co., Ltd."	Santen Pharmaceutical	JPY	SHARE	TKS	"4,229.0"
677670	Santos Limited	Santos	AUD	SHARE	ASX	"3,786.0"
B56HH4	"Sany Heavy Equipment International Holdings Co., Ltd."	Sany Heavy Equip Intl	HKD	SHARE	HKG	"4,995.0"
484628	SAP SE	SAP	EUR	SHARE	ETR	"107,415.0"
211222	Saputo Inc.	Saputo	CAD	SHARE	TSE	"17,300.0"
584332	Sartorius AG Pref	Sartorius Vz	EUR	PREFEQ	ETR	"13,832.0"
BYZ2QP	Sartorius Stedim Biotech SA	Sartorius Stedim Biotech	EUR	SHARE	PAR	"10,409.0"
677745	Sasol Limited	Sasol	ZAR	SHARE	JSE	"28,949.0"
B3C8VY	Saudi Arabian Mining Co.	MAADEN	SAR	SHARE	SAU	#N/A
BJTM27	Saudi Arabian Oil Co.	Saudi Arabian Oil	SAR	SHARE	SAU	"68,493.0"
B1324D	Saudi Basic Industries Corp.	SABIC	SAR	SHARE	SAU	#N/A
B12LSY	Saudi British Bank	SABB	SAR	SHARE	SAU	"5,116.0"
B132NM	Saudi Electricity Co.	Saudi Electric.	SAR	SHARE	SAU	#N/A
B132Y6	Saudi Industrial Investment Group	SIIG	SAR	SHARE	SAU	#N/A
B1Z8F6	Saudi Kayan Petrochemical Co.	Saudi Kayan	SAR	SHARE	SAU	#N/A
BSHYYN	Saudi National Bank	Saudi National	SAR	SHARE	SAU	"16,113.0"
B156TT	Saudi Research and Media Group	Saudi Research & Media Gp	SAR	SHARE	SAU	#N/A
B12M7Q	Saudi Telecom Co.	STC	SAR	SHARE	SAU	#N/A
B133RS	Savola Group	Savola Group	SAR	SHARE	SAU	#N/A
BZ6TS2	SBA Communications Corp. Class A	SBA Communications A	USD	SHARE	NAS	"1,596.0"
BKPFMG	SBI Cards & Payment Services Ltd	SBI Cards & Payment Services	INR	SHARE	BOM	"41,468.0"
630946	"SBI Holdings, Inc."	SBI	JPY	SHARE	TKS	"9,209.0"
BZ60N3	SBI Life Insurance Co. Ltd.	SBI Life Insurance Co	INR	SHARE	BOM	"18,234.0"
BPH070	SCB X Public Company Limited	SCB X	THB	SHARE	BKK	#N/A
BLZH0Z	Scentre Group	Scentre Group	AUD	SHARE	ASX	#N/A
BMC0T3	SCG Packaging Public Co Ltd	SCG Packaging	THB	SHARE	BKK	#N/A
479053	Schibsted Asa Class A	Schibsted	NOK	SHARE	OSL	"5,140.0"
B11TCY	Schindler Holding AG Pref	Schindler Hldg PS	CHF	PREFEQ	SWX	"69,015.0"
277920	Schlumberger NV	Schlumberger	USD	SHARE	NYS	"92,000.0"
483410	Schneider Electric SE	Schneider Electric	EUR	SHARE	PAR	"147,468.0"
024054	Schroders PLC	Schroders	GBP	SHARE	LON	"5,750.0"
BYT934	Scout24 SE	Scout24	EUR	SHARE	ETR	#N/A
685847	SCSK Corporation	SCSK	JPY	SHARE	TKS	"14,550.0"
BKSCSZ	"SD Biosensor, Inc."	SD Biosensor	KRW	SHARE	KRX	422.0
BYWD7L	Sea Ltd. (Singapore) Sponsored ADR Class A	Sea /Singapore ADR	USD	ADR	NYS	"67,300.0"
BKVD2N	Seagate Technology Holdings PLC	Seagate Technology Holdings	USD	SHARE	NAS	"40,000.0"
BLPK4D	"Seagen, Inc."	Seagen	USD	SHARE	NAS	"2,675.0"
223279	Sealed Air Corporation	Sealed Air	USD	SHARE	NYS	"16,500.0"
BMWYQP	Seazen Group Ltd.	Seazen Group	HKD	SHARE	HKG	"32,105.0"
479213	SEB SA	SEB	EUR	SHARE	PAR	"32,695.0"
679159	"Secom Co., Ltd."	SECOM	JPY	SHARE	TKS	"59,436.0"
555404	Securitas AB Class B	Securitas B	SEK	SHARE	OME	"345,000.0"
B679Q3	"Seegene, Inc."	Seegene	KRW	SHARE	KRX	"1,070.0"
B0767Y	Seek Limited	SEEK	AUD	SHARE	ASX	"2,134.0"
B5ZN1N	SEGRO plc	SEGRO	GBP	SHARE	LON	#N/A
279361	SEI Investments Company	SEI Investments	USD	SHARE	NAS	"4,406.0"
661650	Seiko Epson Corp.	Seiko Epson	JPY	SHARE	TKS	"79,944.0"
